#,Step,Step Title,Sub-step,Sub-step Title,Problem,Difficulty,Tag,Status,Date Solved,Revision,Notes,BLOG,YT,LC,GFG,CN,TUF,Alt Link,Alt Source,LC (suggested),LC Suggested By,Solution PDF page,Origin
11,1,Step 1: Learn the basics,3,3. Learn STL/Java-Collections or similar thing in your language,C++ STL,Medium,"C++, Introduction to DSA",Not Started,,,,https://takeuforward.org/c/c-stl-tutorial-most-frequent-used-stl-containers/,https://www.youtube.com/watch?v=RRVYpIET_RU,,https://www.youtube.com/watch?v=RRVYpIET_RU,,,,,,,,takeuforward roadmap
12,1,Step 1: Learn the basics,3,3. Learn STL/Java-Collections or similar thing in your language,Java Collections,Easy,"Java, Introduction to DSA",Not Started,,,,,,,,,,,,,,,takeuforward roadmap
13,1,Step 1: Learn the basics,4,4. Know Basic Maths,Count Digits,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/count-digits-in-a-number/,https://www.youtube.com/watch?v=1xNbjMdbjug,,https://practice.geeksforgeeks.org/problems/count-digits5716/1,https://www.codingninjas.com/codestudio/problems/count-digits_8416387,https://takeuforward.org/plus/dsa/problems/count-all-digits-of-a-number,,,,,2,takeuforward roadmap
14,1,Step 1: Learn the basics,4,4. Know Basic Maths,Reverse a Number,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/maths/reverse-digits-of-a-number,https://www.youtube.com/watch?v=1xNbjMdbjug&t=930,https://leetcode.com/problems/reverse-integer/,https://practice.geeksforgeeks.org/problems/reverse-bits3556/1,https://www.codingninjas.com/studio/problems/reverse-bits_2181102,https://takeuforward.org/plus/dsa/problems/reverse-a-number,,,,,3,takeuforward roadmap
15,1,Step 1: Learn the basics,4,4. Know Basic Maths,Check Palindrome,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/check-if-a-number-is-palindrome-or-not/,https://www.youtube.com/watch?v=1xNbjMdbjug&t=1230,https://leetcode.com/problems/palindrome-number/,https://practice.geeksforgeeks.org/problems/palindrome0746/1,https://www.codingninjas.com/studio/problems/palindrome-number_624662,https://takeuforward.org/plus/dsa/problems/palindrome-number,,,,,5,takeuforward roadmap
16,1,Step 1: Learn the basics,4,4. Know Basic Maths,GCD Or HCF,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/find-gcd-of-two-numbers/,https://www.youtube.com/watch?v=1xNbjMdbjug&t=2684,,https://practice.geeksforgeeks.org/problems/lcm-and-gcd4516/1,https://www.codingninjas.com/codestudio/problems/hcf-and-lcm_840448,https://takeuforward.org/plus/dsa/problems/gcd-of-two-numbers,,,,,6,takeuforward roadmap
17,1,Step 1: Learn the basics,4,4. Know Basic Maths,Armstrong Numbers,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/maths/check-if-a-number-is-armstrong-number-or-not/,https://www.youtube.com/watch?v=1xNbjMdbjug&t=1418,https://leetcode.com/problems/armstrong-number/,https://practice.geeksforgeeks.org/problems/armstrong-numbers2727/1,https://www.codingninjas.com/studio/problems/check-armstrong_589,https://takeuforward.org/plus/dsa/problems/check-if-the-number-if-armstrong,,,,,8,takeuforward roadmap
18,1,Step 1: Learn the basics,4,4. Know Basic Maths,Print all Divisors,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/print-all-divisors-of-a-given-number/,https://www.youtube.com/watch?v=1xNbjMdbjug&t=1580,,https://practice.geeksforgeeks.org/problems/sum-of-all-divisors-from-1-to-n4738/1,https://www.codingninjas.com/studio/problems/sum-of-all-divisors_8360720,https://takeuforward.org/plus/dsa/problems/divisors-of-a-number,,,,,9,takeuforward roadmap
19,1,Step 1: Learn the basics,4,4. Know Basic Maths,Check for Prime,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/check-if-a-number-is-prime-or-not/,https://www.youtube.com/watch?v=1xNbjMdbjug&t=2381,,https://practice.geeksforgeeks.org/problems/minimum-number-of-jumps-1587115620/1,https://www.codingninjas.com/studio/problems/check-prime_624934,https://takeuforward.org/plus/dsa/problems/check-for-prime-number,,,,,11,takeuforward roadmap
20,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Understand recursion by print something N times,Easy,"Recursion, Data Structures",Not Started,,,,https://takeuforward.org/recursion/introduction-to-recursion-understand-recursion-by-printing-something-n-times/,https://www.youtube.com/watch?v=yVdKa8dnKiE,,https://www.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290,,,,,,12,takeuforward roadmap
21,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Print name N times using recursion,Easy,"Recursion, Data Structures",Not Started,,,,https://takeuforward.org/recursion/print-name-n-times-using-recursion/,https://www.youtube.com/watch?v=un6PLygfXrA,,https://www.geeksforgeeks.org/problems/print-gfg-n-times/1,https://www.codingninjas.com/studio/problems/-print-n-times_8380707,,,,,,13,takeuforward roadmap
22,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Print 1 to N using recursion,Easy,"Recursion, Data Structures",Not Started,,,,https://takeuforward.org/recursion/print-1-to-n-using-recursion/,https://www.youtube.com/watch?v=un6PLygfXrA,,https://practice.geeksforgeeks.org/problems/print-1-to-n-without-using-loops-1587115620/1,https://www.codingninjas.com/codestudio/problems/print-1-to-n_628290,,,,,,14,takeuforward roadmap
23,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Print N to 1 using recursion,Easy,"Recursion, Data Structures",Not Started,,,,https://takeuforward.org/recursion/print-n-to-1-using-recursion/,https://www.youtube.com/watch?v=un6PLygfXrA,,https://www.geeksforgeeks.org/problems/print-n-to-1-without-loop/1,https://www.codingninjas.com/studio/problems/n-to-1-without-loop_8357243,,,,,,15,takeuforward roadmap
24,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Sum of first N numbers,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/sum-of-first-n-natural-numbers/,https://www.youtube.com/watch?v=69ZCDFy-OUo,,https://practice.geeksforgeeks.org/problems/sum-of-first-n-terms5843/1,https://www.codingninjas.com/studio/problems/sum-of-first-n-numbers_8876068,https://takeuforward.org/plus/dsa/problems/sum-of-first-n-numbers,,,,,16,takeuforward roadmap
25,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Factorial of N numbers,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/factorial-of-a-number-iterative-and-recursive/,https://www.youtube.com/watch?v=69ZCDFy-OUo,,https://practice.geeksforgeeks.org/problems/find-all-factorial-numbers-less-than-or-equal-to-n3548/0,https://www.codingninjas.com/studio/problems/factorial-numbers-not-greater-than-n_8365435,https://takeuforward.org/plus/dsa/problems/factorial-of-a-given-number,,,,,17,takeuforward roadmap
26,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Reverse an array,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/reverse-a-given-array/,https://www.youtube.com/watch?v=twuC1F6gLI8,,https://practice.geeksforgeeks.org/problems/reverse-an-array/0,https://www.codingninjas.com/studio/problems/reverse-an-array_8365444,https://takeuforward.org/plus/dsa/problems/reverse-an-array,,,https://leetcode.com/problems/reverse-string,codolio,17,takeuforward roadmap
27,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Check if a string is palindrome or not,Medium,"String, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/check-if-the-given-string-is-palindrome-or-not/,https://www.youtube.com/watch?v=twuC1F6gLI8,https://leetcode.com/problems/valid-palindrome/,https://practice.geeksforgeeks.org/problems/palindrome-string0817/1,https://www.codingninjas.com/studio/problems/check-palindrome-recursive_624386,https://takeuforward.org/plus/dsa/problems/check-if-string-is-palindrome-or-not-,,,,,18,takeuforward roadmap
28,1,Step 1: Learn the basics,5,5. Learn Basic Recursion,Fibonacci Number,Easy,"Maths, Data Structures",Not Started,,,,https://takeuforward.org/arrays/print-fibonacci-series-up-to-nth-term/,https://www.youtube.com/watch?v=kvRjNm4rVBE,https://leetcode.com/problems/fibonacci-number/,https://www.geeksforgeeks.org/problems/print-first-n-fibonacci-numbers1002/1,https://www.codingninjas.com/studio/problems/print-fibonacci-series_7421617,https://takeuforward.org/plus/dsa/problems/fibonacci-number,,,,,19,takeuforward roadmap
29,1,Step 1: Learn the basics,6,6. Learn Basic Hashing,Hashing Theory,Medium,"Hashing, Data Structures",Not Started,,,,https://takeuforward.org/hashing/hashing-maps-time-complexity-collisions-division-rule-of-hashing-strivers-a2z-dsa-course/,https://www.youtube.com/watch?v=KEs5UyBJ39g,,,,,,,,,20,takeuforward roadmap
30,1,Step 1: Learn the basics,6,6. Learn Basic Hashing,Counting frequencies of array elements,Easy,"Arrays, Hashing, Sorting, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/count-frequency-of-each-element-in-the-array/,,,https://practice.geeksforgeeks.org/problems/frequency-of-array-elements-1587115620/0,https://www.codingninjas.com/studio/problems/count-frequency-in-a-range_8365446,,,,,,21,takeuforward roadmap
31,1,Step 1: Learn the basics,6,6. Learn Basic Hashing,Find the highest/lowest frequency element,Easy,"Arrays, Hashing, Data Structures",Not Started,,,,https://takeuforward.org/arrays/find-the-highest-lowest-frequency-element/,,https://leetcode.com/problems/frequency-of-the-most-frequent-element/,https://www.geeksforgeeks.org/problems/top-k-frequent-elements-in-array/1,https://www.codingninjas.com/studio/problems/k-most-occurrent-numbers_625382,https://takeuforward.org/plus/dsa/problems/highest-occurring-element-in-an-array,,,,,23,takeuforward roadmap
32,2,Step 2: Learn Important Sorting Techniques,1,1. Sorting-I,Selection Sort,Easy,"Sorting, Arrays, Data Structures",Not Started,,,,https://takeuforward.org/sorting/selection-sort-algorithm/,https://www.youtube.com/watch?v=HGk_ypEuS24&t=167,,https://www.geeksforgeeks.org/problems/selection-sort/1,https://www.codingninjas.com/studio/problems/selection-sort_624469,https://takeuforward.org/plus/dsa/problems/selection-sort,,,,,25,takeuforward roadmap
33,2,Step 2: Learn Important Sorting Techniques,1,1. Sorting-I,Bubble Sort,Easy,"Sorting, Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/bubble-sort-algorithm/,https://www.youtube.com/watch?v=HGk_ypEuS24&t=1061,,https://www.geeksforgeeks.org/problems/bubble-sort/1,https://www.codingninjas.com/studio/problems/bubble-sort_624380,https://takeuforward.org/plus/dsa/problems/bubble-sort,,,,,26,takeuforward roadmap
34,2,Step 2: Learn Important Sorting Techniques,1,1. Sorting-I,Insertion Sort,Easy,"Sorting, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/insertion-sort-algorithm/,https://www.youtube.com/watch?v=HGk_ypEuS24&t=1900,,https://www.geeksforgeeks.org/problems/insertion-sort/0,https://www.codingninjas.com/studio/problems/insertion-sort_624381,https://takeuforward.org/plus/dsa/problems/insertion-sorting,,,,,27,takeuforward roadmap
35,2,Step 2: Learn Important Sorting Techniques,2,2. Sorting-II,Merge Sort,Medium,"Arrays, Sorting, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/merge-sort-algorithm/,https://www.youtube.com/watch?v=ogjf7ORKfd8,,https://www.geeksforgeeks.org/problems/merge-sort/1,https://www.codingninjas.com/studio/problems/merge-sort_5846,https://takeuforward.org/plus/dsa/problems/merge-sorting,,,,,29,takeuforward roadmap
36,2,Step 2: Learn Important Sorting Techniques,2,2. Sorting-II,Recursive Bubble Sort,Easy,"Sorting, Data Structures",Not Started,,,,https://takeuforward.org/arrays/recursive-bubble-sort-algorithm/,,,https://www.geeksforgeeks.org/problems/bubble-sort/1,https://www.codingninjas.com/studio/problems/bubble-sort_624380,,,,,,31,takeuforward roadmap
37,2,Step 2: Learn Important Sorting Techniques,2,2. Sorting-II,Recursive Insertion Sort,Easy,"Recursion, Sorting, Data Structures",Not Started,,,,https://takeuforward.org/arrays/recursive-insertion-sort-algorithm/,,,https://www.geeksforgeeks.org/problems/insertion-sort/1,https://www.codingninjas.com/studio/problems/insertion-sort_624381,,,,,,32,takeuforward roadmap
38,2,Step 2: Learn Important Sorting Techniques,2,2. Sorting-II,Quick Sort,Easy,"Arrays, Sorting, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/quick-sort-algorithm/,https://www.youtube.com/watch?v=WIrA4YexLRQ,,https://www.geeksforgeeks.org/problems/quick-sort/1,https://www.codingninjas.com/studio/problems/quick-sort_5844,https://takeuforward.org/plus/dsa/problems/quick-sorting,,,,,34,takeuforward roadmap
39,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Largest Element in an Array,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/find-the-largest-element-in-an-array/,https://www.youtube.com/watch?v=37E9ckMDdTk&t=526,,https://www.geeksforgeeks.org/problems/largest-element-in-array4009/0,https://www.codingninjas.com/codestudio/problems/largest-element-in-the-array-largest-element-in-the-array_5026279,https://takeuforward.org/plus/dsa/problems/largest-element,,,,,38,takeuforward roadmap
40,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Second Largest Element in an Array without sorting,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/find-second-smallest-and-second-largest-element-in-an-array/,https://www.youtube.com/watch?v=37E9ckMDdTk&t=810,,https://www.geeksforgeeks.org/problems/second-largest3735/1,https://www.codingninjas.com/codestudio/problems/ninja-and-the-second-order-elements_6581960,https://takeuforward.org/plus/dsa/problems/second-largest-element,,,,,,takeuforward roadmap
41,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Check if the array is sorted,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/check-if-an-array-is-sorted/,https://www.youtube.com/watch?v=37E9ckMDdTk&t=17224,https://leetcode.com/problems/check-if-array-is-sorted-and-rotated/,https://www.geeksforgeeks.org/problems/check-if-an-array-is-sorted0701/1,https://www.codingninjas.com/codestudio/problems/ninja-and-the-sorted-check_6581957,https://takeuforward.org/plus/dsa/problems/check-if-the-array-is-sorted,,,,,43,takeuforward roadmap
42,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Remove duplicates from Sorted array,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/remove-duplicates-in-place-from-sorted-array/,https://www.youtube.com/watch?v=37E9ckMDdTk&t=1887,https://leetcode.com/problems/remove-duplicates-from-sorted-array/,https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/1,https://www.codingninjas.com/codestudio/problems/remove-duplicates-from-sorted-array_1102307,https://takeuforward.org/plus/dsa/problems/remove-duplicates-from-sorted-array,,,,,45,takeuforward roadmap
43,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Left Rotate an array by one place,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/left-rotate-the-array-by-one/,https://www.youtube.com/watch?v=wvcQg43_V8U&t=61,https://leetcode.com/problems/rotate-array/,https://www.geeksforgeeks.org/problems/quick-left-rotation3806/1,https://www.codingninjas.com/codestudio/problems/left-rotate-an-array-by-one_5026278,https://takeuforward.org/plus/dsa/problems/left-rotate-array-by-one,,,,,48,takeuforward roadmap
44,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Left rotate an array by D places,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/rotate-array-by-k-elements/,https://www.youtube.com/watch?v=wvcQg43_V8U&t=485,https://leetcode.com/problems/rotate-array/,https://www.geeksforgeeks.org/problems/reversal-algorithm5340/1,https://www.codingninjas.com/codestudio/problems/rotate-array_1230543,https://takeuforward.org/plus/dsa/problems/left-rotate-array,,,,,48,takeuforward roadmap
45,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Move Zeros to end,Easy,"Arrays, Data Structures, Two Pointer",Not Started,,,,https://takeuforward.org/data-structure/move-all-zeros-to-the-end-of-the-array/,https://www.youtube.com/watch?v=wvcQg43_V8U&t=1633,https://leetcode.com/problems/move-zeroes/,https://www.geeksforgeeks.org/problems/move-all-zeroes-to-end-of-array0751/1,https://www.codingninjas.com/codestudio/problems/ninja-and-the-zero-s_6581958,https://takeuforward.org/plus/dsa/problems/move-zeros-to-end,,,,,54,takeuforward roadmap
46,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Linear Search,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/linear-search-in-c/,https://www.youtube.com/watch?v=wvcQg43_V8U&t=2465,,https://www.geeksforgeeks.org/problems/who-will-win-1587115621/1,https://www.codingninjas.com/codestudio/problems/linear-search_6922070,https://takeuforward.org/plus/dsa/problems/linear-search,,,,,58,takeuforward roadmap
47,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Find the Union,Medium,"Arrays, Hashing, Sorting, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/union-of-two-sorted-arrays/,https://www.youtube.com/watch?v=wvcQg43_V8U&t=2584,,https://www.geeksforgeeks.org/problems/union-of-two-sorted-arrays-1587115621/1,https://www.codingninjas.com/codestudio/problems/sorted-array_6613259,https://takeuforward.org/plus/dsa/problems/union-of-two-sorted-arrays,,,,,,takeuforward roadmap
48,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Find missing number in an array,Easy,"Arrays, Data Structures, Binary Search, Hashing",Not Started,,,,https://takeuforward.org/arrays/find-the-missing-number-in-an-array/,https://www.youtube.com/watch?v=bYWLJb3vCWY&t=57,https://leetcode.com/problems/missing-number/,https://www.geeksforgeeks.org/problems/missing-number4257/1,,https://takeuforward.org/plus/dsa/problems/find-missing-number,,,,,65,takeuforward roadmap
49,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Maximum Consecutive Ones,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/count-maximum-consecutive-ones-in-the-array/,https://www.youtube.com/watch?v=bYWLJb3vCWY&t=1124,https://leetcode.com/problems/max-consecutive-ones/,https://www.geeksforgeeks.org/problems/maximize-number-of-1s0905/1,https://www.codingninjas.com/codestudio/problems/traffic_6682625,https://takeuforward.org/plus/dsa/problems/maximum-consecutive-ones,,,,,,takeuforward roadmap
50,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,"Find the number that appears once, and other numbers twice.",Medium,"Arrays, Hashing, Data Structures",Not Started,,,,https://takeuforward.org/arrays/find-the-number-that-appears-once-and-the-other-numbers-twice/,https://www.youtube.com/watch?v=bYWLJb3vCWY&t=1369,https://leetcode.com/problems/single-number/,https://www.geeksforgeeks.org/problems/element-appearing-once2552/0,https://www.codingninjas.com/codestudio/problems/find-the-single-element_6680465,https://takeuforward.org/plus/dsa/problems/single-number---i,,,,,71,takeuforward roadmap
51,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Longest subarray with given sum K(positives),Medium,"Arrays, Data Structures, Hashing",Not Started,,,,https://takeuforward.org/data-structure/longest-subarray-with-given-sum-k/,https://www.youtube.com/watch?v=frf7qxiN2qU,,https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-sum-k_6682399,https://takeuforward.org/plus/dsa/problems/longest-subarray-with-sum-k,,,,,76,takeuforward roadmap
52,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],1,1. Easy,Longest subarray with sum K (Positives + Negatives),Medium,"Arrays, Data Structures, Hashing",Not Started,,,,https://takeuforward.org/arrays/longest-subarray-with-sum-k-postives-and-negatives/,https://www.youtube.com/watch?v=frf7qxiN2qU,,https://practice.geeksforgeeks.org/problems/longest-sub-array-with-sum-k0809/1,https://www.codingninjas.com/studio/problems/longest-subarray-with-sum-k_5713505,https://takeuforward.org/plus/dsa/problems/longest-subarray-with-sum-k,,,,,76,takeuforward roadmap
53,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],2,2. Medium,2Sum Problem,Medium,"Arrays, Sorting, Data Structures, Two Pointer",Not Started,,,,https://takeuforward.org/data-structure/two-sum-check-if-a-pair-with-given-sum-exists-in-array/,https://www.youtube.com/watch?v=UXDSeD9mN-k,https://leetcode.com/problems/two-sum/,https://www.geeksforgeeks.org/problems/find-all-pairs-whose-sum-is-x5808/1,https://www.codingninjas.com/codestudio/problems/reading_6845742,https://takeuforward.org/plus/dsa/problems/two-sum,,,,,,takeuforward roadmap
54,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],2,2. Medium,Sort an array of 0's 1's and 2's,Medium,"Arrays, Two Pointer, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/sort-an-array-of-0s-1s-and-2s/,https://www.youtube.com/watch?v=tp8JIuCXBaU,https://leetcode.com/problems/sort-colors/,https://www.geeksforgeeks.org/problems/sort-an-array-of-0s-1s-and-2s4231/1,https://www.codingninjas.com/codestudio/problems/sort-an-array-of-0s-1s-and-2s_892977,https://takeuforward.org/plus/dsa/problems/sort-an-array-of-0's-1's-and-2's,,,,,,takeuforward roadmap
55,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],2,2. Medium,Majority Element (>n/2 times),Easy,"Arrays, Hashing, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/find-the-majority-element-that-occurs-more-than-n-2-times/,https://www.youtube.com/watch?v=nP_ns3uSh80,https://leetcode.com/problems/majority-element/,https://www.geeksforgeeks.org/problems/majority-element-1587115620/1,https://www.codingninjas.com/codestudio/problems/majority-element_6783241,https://takeuforward.org/plus/dsa/problems/majority-element-i,,,,,94,takeuforward roadmap
56,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],2,2. Medium,"Kadane's Algorithm, maximum subarray sum",Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,https://www.youtube.com/watch?v=AHZpyENo7k4,https://leetcode.com/problems/maximum-subarray/,https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/0,https://www.codingninjas.com/codestudio/problems/maximum-subarray-sum_630526,https://takeuforward.org/plus/dsa/problems/kadane's-algorithm,,,,,97,takeuforward roadmap
57,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],2,2. Medium,Print subarray with maximum subarray sum (extended version of above problem),Medium,"Arrays, Hashing, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/kadanes-algorithm-maximum-subarray-sum-in-an-array/,https://www.youtube.com/watch?v=AHZpyENo7k4,,https://www.geeksforgeeks.org/problems/max-sum-in-sub-arrays0824/0,https://www.codingninjas.com/codestudio/problems/longest-subarray-with-sum-k_6682399,https://takeuforward.org/plus/dsa/problems/kadane's-algorithm,,,,,102,takeuforward roadmap
58,3,Step 3: Solve Problems on Arrays [Easy -> Medium -> Hard],2,2. Medium,Stock Buy and Sell,Easy,"Arrays, Data Structures",Not Started,,,,https://takeuforward.org/data-structure/stock-buy-and-sell/,https://www.youtube.com/watch?v=excAOvwF_Wk,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,https://www.geeksforgeeks.org/problems/stock-buy-and-sell2615/0,https://www.codingninjas.com/codestudio/problems/best-time-to-buy-and-sell-stock_6194560,https://takeuforward.org/plus/dsa/problems/best-time-to-buy-and-sell-stock,,,,,103,takeuforward roadmap
